country_code,mean,median,min,max,n_years,country
PT,8.875,8.85,8.58,9.28,10,Portugal
RS,8.59,8.65,8.0,9.1,10,RS
DE,7.688888888888889,7.6,7.5,8.1,9,Germany
ME,7.665,7.665,7.5,7.83,2,ME
LU,7.406999999999999,7.415,7.27,7.56,10,Luxembourg
CH,7.281999999999999,7.27,6.85,7.85,10,Switzerland
IT,6.922727272727273,6.85,6.74,7.54,11,Italy
BE,6.828,6.85,6.48,7.2,10,Belgium
PL,6.792,6.7,6.5,7.3,10,Poland
LT,6.712999999999999,6.695,6.37,7.11,10,Lithuania
FI,6.640000000000001,6.65,6.2,7.0,10,Finland
SK,6.609999999999999,6.65,6.2,7.0,10,Slovakia
HR,6.547,6.484999999999999,6.03,7.16,10,Croatia
SI,6.5280000000000005,6.6,5.45,6.95,10,Slovenia
AT,6.449,6.475,6.31,6.61,10,Austria
RO,6.207,6.234999999999999,5.77,6.48,10,Romania
ES,6.099,6.045,5.99,6.37,10,Spain
CZ,6.023000000000001,5.960000000000001,5.73,6.57,10,Czechia
UK,5.984444444444445,6.01,5.85,6.06,9,United Kingdom
NO,5.9399999999999995,6.0,5.5,6.3,10,Norway
LV,5.936999999999999,5.9399999999999995,5.8,6.15,10,Latvia
EE,5.9,6.0,5.5,6.2,10,Estonia
MK,5.890000000000001,5.87,5.63,6.22,11,North Macedonia
IE,5.8469999999999995,5.9,5.6,6.0,10,Ireland
LI,5.814,5.905,4.89,6.29,10,LI
NL,5.7,5.35,5.0,6.7,10,Netherlands
IS,5.616,5.6,5.34,5.91,10,Iceland
HU,5.6,5.59,5.35,5.84,10,Hungary
SE,5.599,5.595,5.43,5.78,10,Sweden
FR,5.585,5.58,5.41,5.82,10,France
EL,5.3999999999999995,5.35,5.2,5.6,6,EL
CY,5.3100000000000005,5.65,3.2,5.8,10,Cyprus
MT,5.257777777777778,5.29,5.0,5.4,9,Malta
BG,4.7,4.7,4.7,4.7,1,Bulgaria
TR,3.9899999999999998,3.965,3.9,4.12,10,TR
